RAID.lv;46.86;123;2.63
Ampēriņš;41.11;107;2.6
Mieru, tikai mieru!;35.34;81;2.29
TAKA 2015;41.26;95;2.3
Zaļās Māsas;41.69;109;2.61
PIENA ZOBI;41.9;114;2.72
Lapsa eža kažokā;45.05;118;2.62
Vaidava 2000;36.57;87;2.38
Boriņš un egliņš;36.4;100;2.75
Serious_Intent;54.82;158;2.88
ElMa;35.49;102;2.87
Meridians ;61.15;144;2.35
Zāģis un Zebiekste;46.88;120;2.56
Alnis bez stresa;49.11;136;2.77
Kaifarix Team;34.71;91;2.62
DUBULTS NEPLĪST;37.63;101;2.68
Mona V;51.64;149;2.89
LatLat 3;42.61;119;2.79
ASAP VI;32.09;85;2.65
Mjaumjau;39.41;108;2.74
MARVELA;38.14;100;2.62
Čiņčidriļčiks;36.26;101;2.79
22 minūtes;48.35;131;2.71
PALEJU BUKI;57.74;156;2.7
Alnis brīvsolī;40.31;122;3.03
Carpe Diem! PRO;61.74;163;2.64
Divi veči;39.87;109;2.73
 Piektais Virziens;45.0;115;2.56
Concorde;54.7;159;2.91
SuperKleperīgs meža skuvums;50.38;133;2.64
Ņergas/Isostar;21.26;46;2.16
KĀPA VR;44.33;118;2.66
KĀ2;35.49;102;2.87
Kurmis;56.98;148;2.6
AAT;32.57;91;2.79
Dzērves;29.72;78;2.62
Avantūristi;34.61;70;2.02
Liedagi-35;53.8;154;2.86
ALUSALA;35.84;101;2.82
GuN;50.36;127;2.52
Asie pipari;46.47;121;2.6
Ozona Unda;43.46;125;2.88
Ātrās ļipas;43.43;90;2.07
Mona-XA;43.13;120;2.78
BČ;39.41;98;2.49
Turbo Gliemeži;50.15;123;2.45
Crazy Sisters;39.34;103;2.62
Stiprās vārnas;38.05;86;2.26
Resnais Susurs;45.36;122;2.69
Malači;45.55;122;2.68
Zebiekstes;39.67;104;2.62
eSKā Vāvers;35.6;69;1.94
Jo-Jo;48.79;110;2.25
Millimallikas;38.53;109;2.83
KĀPA  LR;45.87;128;2.79
Pozitīvie Skorpioni;39.0;107;2.74
Sēlijas mežs 2;40.07;106;2.65
Vulpes venatores;53.15;148;2.78
Sēlijas mežs;44.32;102;2.3
Hugo_Tox;44.03;104;2.36
Romanichi;42.81;112;2.62
SK Dzērvene;36.82;102;2.77
Taku Skrējējs;51.44;147;2.86
Rāmi lēnām;40.61;97;2.39
Festina Lente;45.29;133;2.94
Slapjie pumpuri;51.66;149;2.88
Piedzīvojumu meklējot;37.0;99;2.68
Green Power Shoes;55.91;156;2.79
Daivas;37.32;90;2.41
Marmotes;35.69;88;2.47
Ķikuti 99;44.63;133;2.98
Divplākšņi;38.85;110;2.83
SILVA;41.32;103;2.49
ISOSTAR;61.7;169;2.74
Apakšgrāvja adipināts;53.18;135;2.54
STK;24.02;70;2.91
Piedzīvojumu meklētāji;64.94;169;2.6
Unqualified reference;43.12;117;2.71
